ts_utc,gpu_index,gpu_name,gpu_uuid,temp_c,power_w,power_limit_w,util_gpu_pct,util_mem_pct,sm_clock_mhz,mem_clock_mhz,mem_used_mb,mem_total_mb,pstate
2026-02-23T17:56:38+00:00,0,,,29,76.012,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:39+00:00,0,,,30,76.073,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:40+00:00,0,,,30,76.0,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:41+00:00,0,,,30,76.046,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:42+00:00,0,,,30,76.052,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:43+00:00,0,,,30,76.066,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:44+00:00,0,,,30,76.014,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:45+00:00,0,,,30,76.01,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:46+00:00,0,,,30,76.076,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:47+00:00,0,,,30,76.0,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:48+00:00,0,,,30,76.019,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:49+00:00,0,,,30,76.033,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:50+00:00,0,,,30,76.074,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:51+00:00,0,,,29,76.001,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:52+00:00,0,,,30,76.084,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:53+00:00,0,,,30,76.098,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:54+00:00,0,,,30,76.024,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:55+00:00,0,,,30,76.068,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:56+00:00,0,,,30,76.019,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:57+00:00,0,,,30,76.007,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:58+00:00,0,,,30,76.059,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:59+00:00,0,,,30,76.105,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:57:00+00:00,0,,,30,76.081,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:57:01+00:00,0,,,30,76.043,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:57:02+00:00,0,,,30,76.06,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:57:03+00:00,0,,,30,76.085,700.0,0,0,345,3201,604.6875,143771.0,0
